mstime	trial_type	stim_file	subject	experiment	session	trial	item_name	item_num	list	answer	test_x	test_y	test_z
69454	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	1	16	8	6	2
71083	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	1	9	4	4	1
72955	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	1	16	2	9	5
75646	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	1	14	7	1	6
79682	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	1	18	4	8	6
82781	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	1	15	1	6	8
86032	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	1	8	3	1	4
87657	STOP	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a
89207	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	HUSBAND	728	n/a	n/a	0	0	0
91747	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	POWDER	1117	n/a	n/a	0	0	0
94496	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	MISTER	901	n/a	n/a	0	0	0
97262	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	WIDOW	1608	n/a	n/a	0	0	0
99678	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	RIVER	1194	n/a	n/a	0	0	0
102301	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	FRAGRANCE	599	n/a	n/a	0	0	0
104883	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	IGLOO	734	n/a	n/a	0	0	0
107524	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	DRINK	498	n/a	n/a	0	0	0
110314	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	PERFUME	1049	n/a	n/a	0	0	0
112787	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	FLUTE	585	n/a	n/a	0	0	0
115369	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	PIANO	1057	n/a	n/a	0	0	0
118152	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	SCISSORS	1250	n/a	n/a	0	0	0
120742	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	KITCHEN	778	n/a	n/a	0	0	0
123500	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	CRAYON	401	n/a	n/a	0	0	0
126307	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	BULLET	194	n/a	n/a	0	0	0
128922	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	OMELET	976	n/a	n/a	0	0	0
131412	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	FRECKLE	602	n/a	n/a	0	0	0
134019	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	TWEEZERS	1526	n/a	n/a	0	0	0
136819	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	TWIG	1527	n/a	n/a	0	0	0
139594	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	HEDGE	699	n/a	n/a	0	0	0
142066	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	CHILD	299	n/a	n/a	0	0	0
144624	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	BUCKET	184	n/a	n/a	0	0	0
147422	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	BELLY	119	n/a	n/a	0	0	0
150129	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	COFFEE	341	n/a	n/a	0	0	0
151734	START	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
152556	DISTRACTOR	n/a	LTP377	ltpFR2	22	1	n/a	n/a	n/a	n/a	0	0	0
152562	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	16	4	5	7
158360	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	17	7	3	7
160792	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	17	2	8	7
164735	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	11	7	3	1
167017	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	13	9	2	2
168821	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	18	7	3	8
171169	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	1	1	8	4
172774	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	13	3	5	5
174259	STOP	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a
177588	REC_START	n/a	LTP377	ltpFR2	22	1	n/a	n/a	n/a	n/a	0	0	0
178503	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	HUSBAND	728	n/a	n/a	0	0	0
180249	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	POWDER	1117	n/a	n/a	0	0	0
181698	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	WIDOW	1608	n/a	n/a	0	0	0
184313	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	RIVER	1194	n/a	n/a	0	0	0
184913	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	FRANCE	601	n/a	n/a	0	0	0
185511	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	IGLOO	734	n/a	n/a	0	0	0
188269	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	DRINK	498	n/a	n/a	0	0	0
190370	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	PERFUME	1049	n/a	n/a	0	0	0
192336	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	FLUTE	585	n/a	n/a	0	0	0
196055	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	PIANO	1057	n/a	n/a	0	0	0
196973	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	FRAGRANCE	599	n/a	n/a	0	0	0
200428	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	TWEEZERS	1526	n/a	n/a	0	0	0
217574	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	BULLET	194	n/a	n/a	0	0	0
219330	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	HEDGE	699	n/a	n/a	0	0	0
220210	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	CHILD	299	n/a	n/a	0	0	0
220973	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	BELLY	119	n/a	n/a	0	0	0
221474	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	1	BUCKET	184	n/a	n/a	0	0	0
268014	DISTRACTOR	n/a	LTP377	ltpFR2	22	2	n/a	n/a	n/a	n/a	0	0	0
268014	START	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	n/a	n/a	n/a	n/a
268030	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	18	5	7	6
270345	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	10	1	8	1
272133	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	18	5	9	4
274566	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	13	8	1	4
277163	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	20	6	7	7
278702	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	10	8	1	1
280088	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	15	4	5	6
282143	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	17	2	6	9
284291	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	15	8	6	1
286004	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	8	1	2	5
287618	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	22	5	9	8
290839	STOP	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	3	n/a	n/a	n/a	n/a
293006	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	DIME	466	n/a	n/a	0	0	0
295730	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	FREEZER	604	n/a	n/a	0	0	0
298228	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	CABIN	211	n/a	n/a	0	0	0
300919	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	GUITAR	670	n/a	n/a	0	0	0
303535	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	BUREAU	199	n/a	n/a	0	0	0
306125	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	PARTNER	1017	n/a	n/a	0	0	0
308807	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	SHORTCAKE	1292	n/a	n/a	0	0	0
311549	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	JUDGE	761	n/a	n/a	0	0	0
314079	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	WARDROBE	1587	n/a	n/a	0	0	0
316537	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	MASK	876	n/a	n/a	0	0	0
319152	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	HOUND	724	n/a	n/a	0	0	0
321643	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	CATCHER	258	n/a	n/a	0	0	0
324173	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	LOVER	846	n/a	n/a	0	0	0
326897	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	COCKTAIL	338	n/a	n/a	0	0	0
329514	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	SCOTCH	1251	n/a	n/a	0	0	0
331953	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	DOLPHIN	483	n/a	n/a	0	0	0
334401	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	SCRIBBLE	1256	n/a	n/a	0	0	0
336949	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	GALLON	618	n/a	n/a	0	0	0
339381	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	WHISKERS	1605	n/a	n/a	0	0	0
342130	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	GOBLIN	645	n/a	n/a	0	0	0
344887	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	CHAMPAGNE	278	n/a	n/a	0	0	0
347403	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	FLASHLIGHT	575	n/a	n/a	0	0	0
349842	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	TUNNEL	1519	n/a	n/a	0	0	0
352408	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	MONSTER	912	n/a	n/a	0	0	0
354012	START	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	n/a	n/a	n/a	n/a
354824	DISTRACTOR	n/a	LTP377	ltpFR2	22	2	n/a	n/a	n/a	n/a	0	0	0
354831	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	10	3	4	3
356853	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	25	9	9	7
358482	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	10	3	5	2
360279	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	13	3	7	3
362000	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	12	9	1	2
366329	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	15	6	5	4
367925	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	6	4	1	1
369036	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	14	8	5	1
370691	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	19	3	9	7
372580	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	10	4	5	1
374091	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	20	8	7	5
377571	STOP	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	4	n/a	n/a	n/a	n/a
379899	REC_START	n/a	LTP377	ltpFR2	22	2	n/a	n/a	n/a	n/a	0	0	0
380425	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	DIME	466	n/a	n/a	0	0	0
380884	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	FREEZER	604	n/a	n/a	0	0	0
381789	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	CABIN	211	n/a	n/a	0	0	0
385028	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	GUITAR	670	n/a	n/a	0	0	0
388664	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	BUREAU	199	n/a	n/a	0	0	0
389182	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	PARTNER	1017	n/a	n/a	0	0	0
391673	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	SHORTCAKE	1292	n/a	n/a	0	0	0
393434	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	JUDGE	761	n/a	n/a	0	0	0
396310	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	WARDROBE	1587	n/a	n/a	0	0	0
400483	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	CHAMPAGNE	278	n/a	n/a	0	0	0
403524	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	WHISKEY	-1	n/a	n/a	0	0	0
404305	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	COCKTAIL	338	n/a	n/a	0	0	0
405647	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	GALLON	618	n/a	n/a	0	0	0
408128	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	TUNNEL	1519	n/a	n/a	0	0	0
408551	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	FLASHLIGHT	575	n/a	n/a	0	0	0
409384	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	MONSTER	912	n/a	n/a	0	0	0
418549	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	WHISKERS	1605	n/a	n/a	0	0	0
420404	REC_WORD_VV	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	2	<>	-1	n/a	n/a	0	0	0
470334	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	SPOUSE	1358	n/a	n/a	0	0	0
473058	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	MAILMAN	858	n/a	n/a	0	0	0
475773	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	ATOM	55	n/a	n/a	0	0	0
478574	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	LACE	792	n/a	n/a	0	0	0
481297	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	SILK	1307	n/a	n/a	0	0	0
484087	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	NIGHTGOWN	953	n/a	n/a	0	0	0
486745	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	CONCERT	360	n/a	n/a	0	0	0
489201	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	ROCKET	1202	n/a	n/a	0	0	0
491692	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	MISSILE	900	n/a	n/a	0	0	0
494248	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	CANAL	226	n/a	n/a	0	0	0
496889	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	PADDLE	1000	n/a	n/a	0	0	0
499563	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	DRIVER	499	n/a	n/a	0	0	0
502136	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	MOTOR	922	n/a	n/a	0	0	0
504743	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	MESSAGE	888	n/a	n/a	0	0	0
507409	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	CHAUFFEUR	283	n/a	n/a	0	0	0
509874	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	LAKE	796	n/a	n/a	0	0	0
512322	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	PASTA	1021	n/a	n/a	0	0	0
514745	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	POET	1095	n/a	n/a	0	0	0
517477	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	BEAVER	109	n/a	n/a	0	0	0
520151	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	PISTON	1076	n/a	n/a	0	0	0
522909	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	SISTER	1312	n/a	n/a	0	0	0
525634	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	HUMAN	726	n/a	n/a	0	0	0
528048	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	PEBBLE	1035	n/a	n/a	0	0	0
530664	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	COCOON	339	n/a	n/a	0	0	0
532267	START	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	n/a	n/a	n/a	n/a
533286	DISTRACTOR	n/a	LTP377	ltpFR2	22	3	n/a	n/a	n/a	n/a	0	0	0
533295	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	20	3	8	9
536403	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	17	5	6	6
539403	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	12	2	3	7
541467	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	13	5	7	1
544082	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	9	4	1	4
545820	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	16	6	2	8
547258	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	21	6	8	7
549079	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	14	4	3	7
550551	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	16	4	6	6
552430	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	15	9	3	3
554653	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	11	1	6	4
555839	STOP	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	5	n/a	n/a	n/a	n/a
558071	REC_START	n/a	LTP377	ltpFR2	22	3	n/a	n/a	n/a	n/a	0	0	0
560824	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	SPOUSE	1358	n/a	n/a	0	0	0
561799	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	MAILMAN	858	n/a	n/a	0	0	0
563270	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	SILK	1307	n/a	n/a	0	0	0
564044	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	NIGHTGOWN	953	n/a	n/a	0	0	0
568634	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	CONCERT	360	n/a	n/a	0	0	0
569717	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	MISSILE	900	n/a	n/a	0	0	0
570100	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	ROCKET	1202	n/a	n/a	0	0	0
572479	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	CHAUFFEUR	283	n/a	n/a	0	0	0
574022	REC_WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	3	MOTOR	922	n/a	n/a	0	0	0
648497	DISTRACTOR	n/a	LTP377	ltpFR2	22	4	n/a	n/a	n/a	n/a	0	0	0
648497	START	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	n/a	n/a	n/a	n/a
648515	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	1	3	4	6
650385	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	4	1	1	2
651889	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	9	1	6	2
653419	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	17	8	7	2
655198	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	18	3	9	6
657681	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	13	1	8	4
660295	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	8	2	4	2
663061	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	10	5	1	4
664658	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	13	3	7	3
666262	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	14	3	8	3
668158	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	12	2	7	3
669838	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	21	9	8	4
671979	STOP	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	6	n/a	n/a	n/a	n/a
673641	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	YOLK	1633	n/a	n/a	0	0	0
676322	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	BASEMENT	94	n/a	n/a	0	0	0
679004	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	TRUCK	1512	n/a	n/a	0	0	0
681554	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	JELLY	755	n/a	n/a	0	0	0
684093	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	HIKER	708	n/a	n/a	0	0	0
686592	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	ICEBERG	731	n/a	n/a	0	0	0
689207	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	KLEENEX	782	n/a	n/a	0	0	0
691780	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	CONTRACT	368	n/a	n/a	0	0	0
694581	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	VIKING	1565	n/a	n/a	0	0	0
696994	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	SUNSET	1408	n/a	n/a	0	0	0
699594	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	GLASS	639	n/a	n/a	0	0	0
702350	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	FRIAR	605	n/a	n/a	0	0	0
705116	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	CHURCH	307	n/a	n/a	0	0	0
707924	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	EGYPT	519	n/a	n/a	0	0	0
710599	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	QUEEN	1149	n/a	n/a	0	0	0
713322	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	HONEY	713	n/a	n/a	0	0	0
715920	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	SWITCH	1422	n/a	n/a	0	0	0
718637	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	DIVER	476	n/a	n/a	0	0	0
721285	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	CAMEL	223	n/a	n/a	0	0	0
723708	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	DASHBOARD	441	n/a	n/a	0	0	0
726323	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	QUAIL	1147	n/a	n/a	0	0	0
728763	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	GAZELLE	628	n/a	n/a	0	0	0
731211	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	COIN	343	n/a	n/a	0	0	0
733877	WORD	wordpools/wasnorm_wordpool_576.txt	LTP377	ltpFR2	22	4	WINDOW	1611	n/a	n/a	0	0	0
735482	START	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	n/a	n/a	n/a	n/a
736500	DISTRACTOR	n/a	LTP377	ltpFR2	22	4	n/a	n/a	n/a	n/a	0	0	0
736502	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	15	5	7	3
738389	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	18	6	8	4
741046	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	21	6	6	9
742935	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	20	9	2	9
744674	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	16	5	4	7
746277	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	21	9	6	6
748391	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	11	3	1	7
749662	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	15	2	6	7
751775	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	8	2	1	5
754090	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	20	8	6	6
756053	PROB	n/a	LTP377	ltpFR2	22	n/a	n/a	n/a	7	9	1	2	6
